name,price,stock
2019 Ford  Super Duty F-350 SRW  XL,,KEG68714
2019 Chevrolet  Equinox  LS,,K6208931
2019 Cadillac  XT5  Luxury AWD," $45,999",KZ145056A
2019 Ford  Super Duty F-350 SRW  Limited," $85,320",U011W3B
2019 Subaru  Outback  Premium,,323014
2019 Subaru  WRX  Premium," $30,947",K9829634
2019 Chevrolet  Silverado MD  Work Truck," $64,930",KH146434
2019 Chevrolet  Trax  LT," $25,435",KL229794
2019 Chevrolet  Equinox  LT," $31,174",KL374741A
2019 Chevrolet  Silverado MD  LT," $72,269",KH245329
2019 Ford  F-150  XL," $29,110",KKC19442
2019 Chevrolet  Equinox  LT," $31,416",K6119358
2019 Chevrolet  Silverado MD  Work Truck," $55,242",KH147094
2019 Ford  Super Duty F-350 SRW  XLT," $63,810",KEC59433
2019 Ford  EcoSport  SE," $26,152",KC284066
2019 Subaru  Outback  Limited,,270827
2019 Subaru  Ascent  Limited,,459720
2019 Ford  Super Duty F-550 DRW  XL,,KEG79909
2019 Subaru  Crosstrek  Premium,,284649
2019 Acura  RDX  w/Advance Pkg,,K2012974
2019 Chevrolet  Traverse  RS,,KJ286352
2019 Toyota  Corolla  L,,KC125114
2019 Acura  MDX  w/Advance Pkg,,K2007131
2019 Subaru  Legacy  Limited,,030899
2019 Chevrolet  Equinox  Premier,,KS637262
